"category","image","detected","num_faces","avg_conf","image_path","n_gt_faces","avg_occlusion","pct_heavy_occlusion","avg_pose","pct_atypical_pose","avg_face_height","scale_category","occlusion_level","pose_level"
"0--Parade","0_Parade_Parade_0_43.jpg",TRUE,32,82.4375,"0--Parade/0_Parade_Parade_0_43.jpg",317,0.697160883280757,0.186119873817035,0.0189274447949527,0.0189274447949527,10.416403785489,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_Parade_0_850.jpg",TRUE,10,66.2,"0--Parade/0_Parade_Parade_0_850.jpg",25,0.52,0.12,0,0,18.84,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_525.jpg",TRUE,7,57.4285714285714,"0--Parade/0_Parade_marchingband_1_525.jpg",26,0.384615384615385,0.115384615384615,0.192307692307692,0.192307692307692,15.3076923076923,"Small","Low","Mostly Typical"
"0--Parade","0_Parade_Parade_0_164.jpg",TRUE,4,37.25,"0--Parade/0_Parade_Parade_0_164.jpg",119,0.823529411764706,0.19327731092437,0.0672268907563025,0.0672268907563025,9.47899159663866,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_932.jpg",TRUE,6,81.1666666666667,"0--Parade/0_Parade_marchingband_1_932.jpg",4,0.5,0,0,0,40.75,"Medium","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_353.jpg",TRUE,2,99,"0--Parade/0_Parade_marchingband_1_353.jpg",2,0,0,0,0,169,"Medium","Low","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_147.jpg",TRUE,4,90,"0--Parade/0_Parade_marchingband_1_147.jpg",10,0.9,0.3,0,0,51.9,"Medium","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_1004.jpg",TRUE,9,77.6666666666667,"0--Parade/0_Parade_marchingband_1_1004.jpg",8,0.125,0,0.625,0.625,45.875,"Medium","Low","Mixed"
"0--Parade","0_Parade_marchingband_1_188.jpg",TRUE,2,28.5,"0--Parade/0_Parade_marchingband_1_188.jpg",47,0.702127659574468,0.0425531914893617,0.0638297872340425,0.0638297872340425,9.76595744680851,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_Parade_0_628.jpg",TRUE,4,86.25,"0--Parade/0_Parade_Parade_0_628.jpg",29,0.931034482758621,0.310344827586207,0,0,14.2758620689655,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_Parade_0_545.jpg",TRUE,3,57.6666666666667,"0--Parade/0_Parade_Parade_0_545.jpg",2,0,0,0.5,0.5,393,"Large","Low","Mixed"
"0--Parade","0_Parade_marchingband_1_149.jpg",TRUE,24,97.9166666666667,"0--Parade/0_Parade_marchingband_1_149.jpg",24,0,0,0,0,35.7916666666667,"Medium","Low","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_653.jpg",TRUE,4,37.75,"0--Parade/0_Parade_marchingband_1_653.jpg",76,0.0263157894736842,0,0,0,15.1184210526316,"Small","Low","Mostly Typical"
"0--Parade","0_Parade_Parade_0_288.jpg",FALSE,0,NA,"0--Parade/0_Parade_Parade_0_288.jpg",13,0.692307692307692,0.307692307692308,0.153846153846154,0.153846153846154,14.6923076923077,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_74.jpg",TRUE,21,58.5238095238095,"0--Parade/0_Parade_marchingband_1_74.jpg",130,0.4,0.0692307692307692,0.00769230769230769,0.00769230769230769,16.7076923076923,"Small","Low","Mostly Typical"
"0--Parade","0_Parade_Parade_0_854.jpg",TRUE,5,87.8,"0--Parade/0_Parade_Parade_0_854.jpg",12,0.583333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,27.8333333333333,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_Parade_0_664.jpg",TRUE,8,68.5,"0--Parade/0_Parade_Parade_0_664.jpg",78,0.858974358974359,0.294871794871795,0.0641025641025641,0.0641025641025641,14.9102564102564,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_768.jpg",TRUE,3,32,"0--Parade/0_Parade_marchingband_1_768.jpg",52,0.923076923076923,0.403846153846154,0.0192307692307692,0.0192307692307692,12.9230769230769,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_360.jpg",TRUE,6,71.6666666666667,"0--Parade/0_Parade_marchingband_1_360.jpg",16,0.875,0.3125,0,0,18.8125,"Small","Partial","Mostly Typical"
"0--Parade","0_Parade_Parade_0_757.jpg",TRUE,2,63,"0--Parade/0_Parade_Parade_0_757.jpg",1,0,0,0,0,310,"Large","Low","Mostly Typical"
"0--Parade","0_Parade_marchingband_1_359.jpg",TRUE,8,89.875,"0--Parade/0_Parade_marchingband_1_359.jpg",20,0.6,0.2,0,0,20.8,"Small","Partial","Mostly Typical"
