"category","detection_rate","avg_num_faces","avg_confidence","occlusion_difficulty","scale_difficulty","pose_difficulty"
"0--Parade",1,6.7027027027027,70.606922994423,"Medium","Hard","Medium"
"1--Handshaking",1,4.63333333333333,84.868417989418,"Easy","Easy","Easy"
"10--People_Marching",1,8.57894736842105,67.8596809796083,"Easy","Easy","Easy"
"12--Group",1,8,87.8806696926262,"Easy","Easy","Easy"
"14--Traffic",1,3.625,75.0104166666667,"Hard","Hard","Easy"
"16--Award_Ceremony",1,3.82051282051282,81.7234654234654,"Easy","Easy","Easy"
"2--Demonstration",1,8.2051282051282,72.8662253782223,"Easy","Easy","Easy"
"20--Family_Group",1,9.45,89.7900032199081,"Easy","Easy","Easy"
"21--Festival",1,3.80555555555556,73.6553330928331,"Easy","Easy","Easy"
"22--Picnic",1,3.47826086956522,75.6150103519669,"Easy","Easy","Easy"
"24--Soldier_Firing",1,3.37931034482759,70.933908045977,"Easy","Easy","Easy"
"28--Sports_Fan",1,3.7,79.9014285714286,"Medium","Medium","Hard"
"3--Riot",1,5.12820512820513,74.2608363858364,"Hard","Medium","Medium"
"34--Baseball",1,2.85714285714286,72.1213151927438,"Medium","Medium","Hard"
"38--Tennis",1,4,85.8625552225552,"Easy","Easy","Easy"
"4--Dancing",1,4.58974358974359,81.1493524993525,"Medium","Easy","Hard"
"42--Car_Racing",1,2.68421052631579,83.2412280701754,"Easy","Hard","Medium"
"47--Matador_Bullfighter",1,3,78.2611984506721,"Easy","Easy","Hard"
"5--Car_Accident",1,3.03333333333333,63.5061111111111,"Easy","Easy","Easy"
"50--Celebration_Or_Party",1,4.46153846153846,82.9480417730418,"Medium","Easy","Easy"
"53--Raid",1,3.27027027027027,76.8906692406692,"Hard","Medium","Easy"
"54--Rescue",1,3.63888888888889,77.4001984126984,"Easy","Easy","Easy"
"56--Voter",1,3.92105263157895,76.0478487886383,"Easy","Easy","Easy"
"58--Hockey",1,6,76.9966509478018,"Medium","Medium","Hard"
"61--Street_Battle",1,4.875,81.3312467650103,"Hard","Hard","Medium"
"9--Press_Conference",1,4.075,82.2323603041695,"Easy","Easy","Easy"
