"category","detection_rate","avg_num_faces","avg_confidence","occlusion_difficulty","scale_difficulty","pose_difficulty"
"0--Parade",1,6.29411764705882,69.1854180133592,"Medium","Hard","Medium"
"12--Group",1,20.6,85.7562417413066,"Easy","Easy","Easy"
"14--Traffic",1,3.41176470588235,71.1789215686274,"Hard","Hard","Easy"
"20--Family_Group",1,8,90.5524712787213,"Easy","Easy","Easy"
"24--Soldier_Firing",1,2.15384615384615,83.9551282051282,"Easy","Easy","Easy"
"28--Sports_Fan",1,5.8,80.6320238095238,"Medium","Medium","Hard"
"3--Riot",1,4.2,76.2129761904762,"Hard","Medium","Medium"
"34--Baseball",1,6.52941176470588,73.1676057602528,"Medium","Medium","Hard"
"4--Dancing",1,3,80.4616666666667,"Medium","Easy","Hard"
"42--Car_Racing",1,2.58823529411765,85.6098039215686,"Easy","Hard","Medium"
"47--Matador_Bullfighter",1,3.33333333333333,73.5321067821068,"Easy","Easy","Hard"
"5--Car_Accident",1,2.75,57.2739583333333,"Easy","Easy","Easy"
"50--Celebration_Or_Party",1,4.3,80.5180555555555,"Medium","Easy","Easy"
"53--Raid",1,3.57894736842105,71.8526733500418,"Hard","Medium","Easy"
"54--Rescue",1,3.94736842105263,70.7882205513784,"Easy","Easy","Easy"
"56--Voter",1,4.15,81.0165079365079,"Easy","Easy","Easy"
"58--Hockey",1,9.31578947368421,70.9548910154173,"Medium","Medium","Hard"
"61--Street_Battle",1,5.89473684210526,73.4577884929716,"Hard","Hard","Medium"
